ObjectID,GlobalID,Date and Time,Notes about area assessed:,Select shrub subspecies,Shrub height (cm),Shrub width 1 (cm),Shrub width 2 (cm),Number of green Rhopalomyia californica galls,Number of dried Rhopalomyia californica galls,distinct areas of Puccinia evadens,Number of Gnorimoschema baccharisella galls,Presence of Aceria baccharipha galls,other notes,CreationDate,Creator,EditDate,Editor,x,y
3,5d5a3bc5-ff4a-444d-8d58-50c8bb54045b,4/14/2021 6:45:00 PM,"some planted flowers, seems minimally maintained",Baccharis pilularis ssp. consanguinea,110,100,95,0,0,0,0,no,,4/14/2021 6:48:26 PM,kuyeda_UCSDOnline,4/14/2021 6:48:26 PM,kuyeda_UCSDOnline,-117.2361221,32.8812405
4,bf1889ae-2fe5-4ea5-90b9-cc5e29342216,4/14/2021 6:49:00 PM,"edge of lawn, probably gets mown",Baccharis pilularis ssp. consanguinea,6,7,4,0,0,0,0,no,,4/14/2021 6:51:11 PM,kuyeda_UCSDOnline,4/14/2021 6:51:11 PM,kuyeda_UCSDOnline,-117.2361923,32.8812434
5,0764c510-adee-44b3-856e-c629b11d7dec,4/14/2021 6:51:00 PM,one branch trimmed,Baccharis pilularis ssp. consanguinea,140,110,40,0,0,0,0,no,,4/14/2021 6:53:29 PM,kuyeda_UCSDOnline,4/14/2021 6:53:29 PM,kuyeda_UCSDOnline,-117.2361449,32.8812301
6,5c6bdf74-a718-4560-ae9d-a62d5015d828,4/20/2021 12:29:00 AM,"Suburban setting, growing on a long strip of soil (aesthetic purposes) with concrete sidewalk on either side. ",Baccharis pilularis ssp. consanguinea,131,245,134,8,0,0,0,no,,4/20/2021 6:52:20 AM,pdan_UCSDOnline,4/20/2021 9:39:51 PM,pdan_UCSDOnline,-117.204157527502,32.8703127493859
7,4862f4b0-7978-4ba6-a56b-9985a36b6aec,4/20/2021 8:36:00 PM,"Dry area near a street corner with a lot of foot traffic. Plenty of lizards nearby,  also other flowering plant species that seem to be persisting. ",Baccharis pilularis ssp. consanguinea,75,160,,,5,,,no,,4/20/2021 8:41:48 PM,pdan_UCSDOnline,4/20/2021 9:40:48 PM,pdan_UCSDOnline,-117.197719666441,32.8674692777814
8,eeb93086-0cf7-49a1-823f-815c38e11d76,4/20/2021 8:46:00 PM,"Only a few feet away from a main road, this shrub was growing amongst other coyote brush and scrubs. It’s development likely stunted by the heavy, wide freeway sign.",Baccharis pilularis ssp. consanguinea,65,70,,5,2,,,no,,4/20/2021 8:50:16 PM,pdan_UCSDOnline,4/20/2021 9:39:02 PM,pdan_UCSDOnline,-117.197503067504,32.8667876364314
9,35b795f7-797a-4cc4-88f9-2a33482629bc,4/20/2021 8:51:00 PM,"Growing along a major street way, this plant was almost amongst other coastal sage scrub. It stands significantly tall. Most of it was dry, however it maintained a good amount of vegetation toward the top branches & those closer to the ground.",Baccharis pilularis ssp. consanguinea,300,275,,3,12,,,,,4/20/2021 9:38:24 PM,pdan_UCSDOnline,4/20/2021 9:42:05 PM,pdan_UCSDOnline,-117.197728123546,32.8665641142391
10,c94cc796-c714-4865-88fd-6e04511576c6,4/20/2021 8:56:00 PM,"Slightly more inland and away from the street, this shrub was relatively green and thriving. Covered in ladybugs (5+). Galls located at higher points of shrub.",Baccharis pilularis ssp. consanguinea,200,150,,2,1,,,,,4/20/2021 9:38:26 PM,pdan_UCSDOnline,4/20/2021 9:42:43 PM,pdan_UCSDOnline,-117.197793033573,32.8664875846875
11,2a025536-1208-4c44-b2f8-1db68d871768,4/20/2021 9:01:00 PM,"A smaller shrub, relatively unpopulated and the galls were small, very difficult to notice.",Baccharis pilularis ssp. consanguinea,135,40,,,2,,,no,,4/20/2021 9:38:27 PM,pdan_UCSDOnline,4/20/2021 9:43:39 PM,pdan_UCSDOnline,-117.198681551013,32.8661177960865
12,14268279-3ab2-4af3-8fd5-ee2031de16b2,4/20/2021 9:04:00 PM,The majority of this shrub was dried out. Plenty of galls that were porous and dry. Surrounding plants also dry with some greener vegetation. ,Baccharis pilularis ssp. consanguinea,150,100,,,16,,,no,,4/20/2021 9:38:29 PM,pdan_UCSDOnline,4/20/2021 9:44:09 PM,pdan_UCSDOnline,-117.19820420486,32.8660897530862
13,e6bfd60b-a4e0-4d83-939d-87bb8571da97,4/20/2021 9:08:00 PM,"Southward facing slope. Relatively dry surrounding area. Inland enough to where it was protected from foot traffic, but lots of sun exposure. ",Baccharis pilularis ssp. consanguinea,40,80,,1,1,,,no,,4/20/2021 9:38:30 PM,pdan_UCSDOnline,4/20/2021 9:44:51 PM,pdan_UCSDOnline,-117.197651654289,32.8660479130316
14,b118dede-b4ca-4739-9f79-5324c502e6e7,4/20/2021 9:19:00 PM,"Surrounded by other shrubs, both dry and green ones. No sign of galls. Adjacent to a manmade fence on a path designated for foot traffic. ",Baccharis pilularis ssp. consanguinea,120,150,,,,,,no,,4/20/2021 9:38:32 PM,pdan_UCSDOnline,4/20/2021 9:45:38 PM,pdan_UCSDOnline,-117.198820397784,32.8655021586964
15,c8571475-dd65-4724-98aa-07f5e502e115,4/20/2021 9:29:00 PM,Surrounded by other plant species including trees and flowers which were probably planted for aesthetic purposes. This shrub seemed to prosper with it as it was near sprinklers. ,Baccharis pilularis ssp. consanguinea,200,250,,3,1,,,no,Noticed a two small bulb that were pale red in color ,4/20/2021 9:38:33 PM,pdan_UCSDOnline,4/20/2021 9:46:31 PM,pdan_UCSDOnline,-117.20052365283,32.8648611395956
16,cf1bd032-fe33-4db3-ab96-5ce08948d173,4/20/2021 9:32:00 PM,Only measured a portion of this shrub. Much too large. Near sidewalks that are heavily trafficked. Also located near sprinkler. ,Baccharis pilularis ssp. consanguinea,80,150,,3,7,1,,no,,4/20/2021 9:38:34 PM,pdan_UCSDOnline,4/20/2021 9:47:21 PM,pdan_UCSDOnline,-117.20048110074,32.8648748142546
17,3e9fa827-37e2-49de-9ae1-d9cbcb97896c,4/20/2021 9:35:00 PM,Also near heavily trafficked sidewalks and landscape sprinklers. This shrub was large and a vibrant green. Surrounded by other similar shrubs. ,,210,170,,3,,11,,no,,4/20/2021 9:38:35 PM,pdan_UCSDOnline,4/20/2021 9:48:34 PM,pdan_UCSDOnline,-117.200342296526,32.8649707531125
18,dd3a5c12-643e-4e59-b0c5-567f03ee89cf,4/22/2021 9:12:00 PM,,Baccharis pilularis ssp. consanguinea,120,141,90,1,0,0,0,no,,4/22/2021 9:17:15 PM,mhibler_UCSDOnline,4/22/2021 9:17:15 PM,mhibler_UCSDOnline,-117.216702271362,32.8596023284205
